k,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos
310,Chas McCormick,29,HOU,AL,-0.6,94,267,242,32,51,6,1,5,27,8,2,17,72,0.211,0.271,0.306,0.576,66,0.274,71,74,3,4,1,3,0,OF
311,Nick Senzel,29,2TM,2LG,-1.4,74,267,236,25,46,11,0,7,18,1,3,28,61,0.195,0.283,0.331,0.614,75,0.271,74,78,6,1,1,0,1,3B
312,Dylan Carlson#,25,2TM,2LG,-1.2,96,265,235,19,49,7,0,3,25,2,1,22,75,0.209,0.287,0.277,0.563,61,0.256,58,65,2,5,0,3,0,OF
313,Sean Murphy,29,ATL,NL,1.3,72,264,233,19,45,5,1,10,25,0,0,27,67,0.193,0.284,0.352,0.636,76,0.293,81,82,7,3,0,1,1,C
314,Kyle Higashioka,34,SDP,NL,1.4,84,263,246,29,54,10,1,17,45,2,0,15,74,0.22,0.263,0.476,0.739,101,0.324,103,117,3,0,1,1,0,C
315,Joey Loperfido*,25,2TM,AL,0.5,81,262,243,24,52,13,4,4,25,4,2,13,95,0.214,0.264,0.35,0.614,75,0.275,74,85,3,4,1,1,0,OF
316,Matt Wallner*,26,MIN,AL,2.2,75,261,220,26,57,17,1,13,37,3,0,24,95,0.259,0.372,0.523,0.894,149,0.387,149,115,2,16,0,1,0,OF
317,Joey Gallo*,30,WSN,NL,0.3,76,260,223,24,36,9,0,10,27,3,1,32,102,0.161,0.277,0.336,0.613,74,0.282,78,75,1,4,0,1,0,1B
318,David Peralta*,36,SDP,NL,0.8,91,260,236,35,63,11,0,8,28,2,0,22,54,0.267,0.335,0.415,0.75,109,0.335,112,98,3,2,0,0,0,OF
319,Iván Herrera,24,STL,NL,1.7,72,259,229,37,69,12,1,5,27,5,0,25,53,0.301,0.372,0.428,0.8,124,0.362,129,98,3,2,0,2,0,C
320,Jason Heyward*,34,2TM,2LG,1.2,87,258,228,33,48,12,2,10,37,5,0,22,53,0.211,0.288,0.412,0.7,98,0.304,92,94,3,4,0,3,2,OF
321,Austin Martin,25,MIN,AL,-1,93,257,233,41,59,18,1,1,16,7,3,20,47,0.253,0.318,0.352,0.67,89,0.299,87,82,4,2,2,0,0,UTIL
322,Austin Hays,28,2TM,2LG,-0.1,85,255,235,26,60,18,0,5,20,2,2,9,59,0.255,0.303,0.396,0.699,101,0.306,101,93,2,8,1,2,1,OF
323,Willie Calhoun*,29,LAA,AL,-0.2,68,254,229,26,56,16,0,5,20,0,1,23,31,0.245,0.315,0.38,0.695,97,0.301,92,87,5,1,0,1,1,DH
324,Taylor Walls#,27,TBR,AL,1.4,84,252,218,27,40,5,3,1,14,16,4,31,67,0.183,0.282,0.248,0.529,55,0.251,53,54,3,0,0,3,0,SS
325,Juan Yepez,26,WSN,NL,0.6,62,249,226,32,64,15,0,6,26,2,1,18,42,0.283,0.335,0.429,0.764,116,0.337,118,97,9,1,1,3,0,1B
326,Elehuris Montero,25,COL,NL,-1.7,67,247,224,23,46,10,0,4,28,0,0,20,56,0.205,0.267,0.304,0.571,55,0.265,54,68,7,0,0,3,0,1B
327,Chris Taylor,33,LAD,NL,-0.1,87,246,213,28,43,7,1,4,23,5,1,28,76,0.202,0.298,0.3,0.598,73,0.289,82,64,5,2,1,2,0,OF
328,Harold Ramírez,29,2TM,2LG,-0.1,73,246,238,28,62,7,1,2,29,6,2,5,50,0.261,0.28,0.324,0.604,73,0.271,70,77,2,2,0,1,0,DH
329,Robbie Grossman#,34,3TM,AL,-0.3,87,245,208,21,44,8,0,3,16,3,0,34,58,0.212,0.322,0.293,0.616,79,0.291,84,61,8,1,0,2,0,DH
330,Andy Ibáñez,31,DET,AL,1.4,99,244,224,30,54,9,1,5,32,2,3,15,63,0.241,0.295,0.357,0.652,85,0.289,86,80,2,3,0,2,0,UTIL
331,Triston Casas*,24,BOS,AL,0.6,63,243,212,28,51,8,0,13,32,0,1,30,77,0.241,0.337,0.462,0.8,120,0.34,116,98,6,1,0,0,4,1B
332,Yasmani Grandal#,35,PIT,NL,0.6,72,243,215,26,49,10,0,9,27,1,0,24,46,0.228,0.304,0.4,0.704,95,0.327,105,86,7,0,3,1,0,C
333,Kyle Farmer,33,MIN,AL,-0.3,107,242,215,26,46,13,1,5,25,3,5,19,49,0.214,0.293,0.353,0.647,82,0.281,80,76,6,6,0,2,1,UTIL
334,Wilmer Flores,32,SFG,NL,-0.6,71,242,214,19,44,12,0,4,26,0,0,20,33,0.206,0.277,0.318,0.595,72,0.274,76,68,5,3,0,5,1,1B
335,Noelvi Marté,22,CIN,NL,-1.8,66,242,229,24,48,9,0,4,18,9,3,9,75,0.21,0.248,0.301,0.549,49,0.244,40,69,1,3,0,1,0,3B
336,Tim Anderson,31,MIA,NL,-1.5,65,241,234,16,50,3,0,0,9,4,4,7,68,0.214,0.237,0.226,0.463,27,0.204,15,53,6,0,0,0,0,SS
337,Dominic Fletcher*,26,CHW,AL,-0.3,72,241,223,14,46,8,0,1,17,0,0,11,58,0.206,0.252,0.256,0.508,47,0.225,38,57,5,3,2,1,1,OF
338,Anthony Rendon,34,LAA,AL,0.6,57,238,206,21,45,10,0,0,14,6,1,23,35,0.218,0.307,0.267,0.574,66,0.283,75,55,4,5,0,4,0,3B
339,Miguel Vargas,24,2TM,2LG,-0.8,72,237,206,22,31,7,0,5,16,3,1,25,57,0.15,0.249,0.257,0.506,46,0.244,52,53,4,3,0,3,0,3B
340,Jose Trevino,31,NYY,AL,0.6,73,234,209,26,45,5,0,8,28,1,0,20,41,0.215,0.288,0.354,0.642,81,0.287,80,74,12,2,1,2,0,C
341,Stuart Fairchild,28,CIN,NL,1,94,233,209,33,45,8,0,8,30,13,1,17,60,0.215,0.286,0.368,0.654,77,0.314,83,77,1,4,2,1,0,OF
342,James McCann,34,BAL,AL,0.8,65,233,214,27,50,9,0,8,31,1,0,13,56,0.234,0.279,0.388,0.667,94,0.293,93,83,3,2,0,4,0,C
343,Garrett Hampson,29,KCR,AL,0.4,113,231,213,16,49,13,1,0,16,7,2,14,59,0.23,0.275,0.3,0.576,63,0.259,56,64,3,0,2,2,0,UTIL
344,Justyn-Henry Malloy,24,DET,AL,-0.4,71,230,202,18,41,7,1,8,21,1,1,23,85,0.203,0.291,0.366,0.658,86,0.289,84,74,2,3,0,2,0,DH
345,Nelson Velázquez,25,KCR,AL,-0.5,64,230,205,31,41,8,1,8,27,2,0,19,61,0.2,0.274,0.366,0.64,78,0.285,76,75,6,3,0,3,0,DH
346,DJ LeMahieu,35,NYY,AL,-1.6,67,228,201,19,41,5,0,2,26,0,1,19,35,0.204,0.269,0.259,0.527,51,0.244,51,52,13,1,1,6,0,1B
347,Nick Ahmed,34,3TM,NL,-0.3,71,228,210,20,48,6,1,2,17,2,1,11,51,0.229,0.267,0.295,0.562,62,0.254,61,62,6,1,3,3,0,SS
348,Addison Barger*,24,TOR,AL,0.4,69,225,208,20,41,11,0,7,28,2,0,14,60,0.197,0.25,0.351,0.601,70,0.272,70,73,1,1,0,1,0,3B
349,Hunter Goodman,24,COL,NL,-0.8,70,224,211,24,40,9,0,13,36,1,1,8,64,0.19,0.228,0.417,0.645,70,0.27,59,88,5,3,0,2,0,OF
350,Garrett Mitchell*,25,MIL,NL,2,69,224,196,33,50,12,3,8,21,11,4,25,71,0.255,0.342,0.469,0.812,123,0.354,123,92,1,1,2,0,0,OF
351,Cavan Biggio*,29,3TM,2LG,0.1,78,224,188,27,37,5,0,5,19,2,0,24,72,0.197,0.314,0.303,0.617,78,0.286,80,57,1,8,2,0,0,UTIL
352,Enmanuel Valdéz*,25,BOS,AL,-0.6,76,223,201,23,43,12,0,6,28,1,1,17,53,0.214,0.27,0.363,0.633,74,0.277,70,73,4,0,1,4,0,2B
353,Ronald Acuña Jr.,26,ATL,NL,0,49,222,192,38,48,8,1,4,15,16,3,27,53,0.25,0.351,0.365,0.716,101,0.343,110,70,4,3,0,0,0,OF
354,Daniel Schneemann*,27,CLE,AL,0.7,73,221,193,17,42,10,2,5,22,3,2,25,70,0.218,0.303,0.368,0.671,91,0.297,90,71,1,0,0,3,0,UTIL
355,Pedro Pagés,25,STL,NL,0.8,68,218,202,19,48,3,2,7,27,2,0,13,58,0.238,0.281,0.376,0.657,82,0.287,76,76,7,0,1,2,0,C
356,Romy González,27,BOS,AL,0.9,89,216,199,25,53,10,1,6,29,11,3,12,58,0.266,0.306,0.417,0.723,99,0.326,100,83,5,1,0,4,0,UTIL
357,Tyler Soderstrom*,22,OAK,AL,0.5,61,213,189,18,44,10,0,9,26,0,0,20,53,0.233,0.315,0.429,0.743,114,0.33,118,81,7,3,0,1,1,1B
358,Austin Slater,31,3TM,2LG,-0.2,84,212,177,24,37,4,0,2,18,3,2,26,60,0.209,0.321,0.266,0.586,73,0.279,81,47,5,5,0,4,0,UTIL
359,Trey Lipscomb,24,WSN,NL,-0.1,61,211,190,20,38,3,0,1,10,11,2,16,40,0.2,0.268,0.232,0.5,45,0.248,48,44,7,2,1,1,0,UTIL
360,Leo Jiménez,23,TOR,AL,0.9,63,210,179,18,41,11,0,4,19,0,0,12,59,0.229,0.329,0.358,0.686,97,0.31,99,64,6,16,0,3,0,SS
361,Trent Grisham*,27,NYY,AL,0.4,76,209,179,21,34,8,0,9,31,1,1,22,57,0.19,0.29,0.385,0.675,90,0.306,95,69,5,4,1,2,1,OF
362,Kyle Stowers*,26,2TM,2LG,-0.5,69,209,192,15,40,11,2,3,24,0,1,13,74,0.208,0.268,0.333,0.601,65,0.27,64,64,2,3,0,1,0,UTIL
363,Jackson Holliday*,20,BAL,AL,0.1,60,208,190,28,36,4,2,5,23,4,0,15,69,0.189,0.255,0.311,0.565,66,0.265,70,59,1,2,0,1,0,2B
364,Jorge Mateo,29,BAL,AL,0.9,68,208,192,30,44,14,2,5,18,13,2,10,48,0.229,0.267,0.401,0.668,93,0.294,87,77,3,1,2,3,0,2B
365,Travis Jankowski*,33,TEX,AL,0.3,104,207,190,19,38,5,0,1,12,11,1,12,44,0.2,0.266,0.242,0.508,48,0.256,54,46,3,5,0,0,0,UTIL
366,Jhonkensy Noel,22,CLE,AL,1,67,198,179,25,39,7,1,13,28,0,0,13,63,0.218,0.288,0.486,0.774,115,0.333,114,87,1,5,0,1,0,
367,Edward Olivares,28,PIT,NL,-0.7,55,196,174,22,39,4,0,5,23,1,0,16,37,0.224,0.291,0.333,0.624,74,0.285,75,58,3,2,0,4,0,
368,DJ Stewart*,30,NYM,NL,-0.8,74,194,158,16,28,4,0,5,19,1,0,31,48,0.177,0.325,0.297,0.622,81,0.296,89,47,5,4,0,1,0,
369,Connor Norby,24,2TM,2LG,0.2,45,194,178,32,42,9,0,9,20,3,3,15,64,0.236,0.294,0.438,0.732,98,0.309,93,78,2,0,0,1,0,
370,Corey Julks,28,CHW,AL,-1.1,66,189,173,17,37,7,0,3,14,5,2,15,50,0.214,0.275,0.306,0.581,67,0.261,64,53,6,0,0,1,0,
371,Dominic Canzone*,26,SEA,AL,0.2,67,188,168,20,33,7,0,8,17,1,0,18,53,0.196,0.271,0.381,0.652,91,0.29,92,64,5,0,0,2,2,
372,Josh Jung,26,TEX,AL,0.6,46,188,178,19,47,5,1,7,16,4,0,8,48,0.264,0.298,0.421,0.719,104,0.319,103,75,1,1,0,1,0,
373,Garrett Stubbs*,31,PHI,NL,0.4,54,187,164,18,34,4,1,1,11,5,0,17,50,0.207,0.296,0.262,0.558,59,0.271,63,43,0,4,0,1,0,
374,Luis Guillorme*,29,3TM,2LG,0.3,77,187,161,14,33,9,1,0,10,4,2,23,36,0.205,0.301,0.273,0.574,64,0.268,65,44,7,0,1,2,0,
375,Daz Cameron,27,OAK,AL,-0.5,66,186,170,22,34,5,1,5,15,5,0,13,51,0.2,0.258,0.329,0.587,70,0.268,69,56,3,1,0,2,0,
376,Matt Thaiss*,29,LAA,AL,0.6,57,186,157,14,32,9,0,2,16,3,0,28,58,0.204,0.323,0.299,0.622,79,0.295,83,47,2,0,0,1,0,
377,Blaze Alexander,25,ARI,NL,0,61,185,166,19,41,7,0,3,21,3,1,15,49,0.247,0.321,0.343,0.664,86,0.301,87,57,1,3,1,0,0,
378,Brooks Lee#,23,MIN,AL,-0.2,50,185,172,9,38,6,1,3,27,3,0,11,27,0.221,0.265,0.32,0.585,64,0.256,53,55,6,0,0,2,2,
379,Jordan Beck,23,COL,NL,-0.8,55,184,170,14,32,6,0,3,13,7,1,12,65,0.188,0.245,0.276,0.521,41,0.246,36,47,3,1,0,1,1,
380,Cristian Pache,25,3TM,2LG,-0.2,88,183,165,13,33,8,1,1,16,1,0,17,64,0.2,0.273,0.279,0.552,55,0.251,49,46,2,0,0,1,0,
381,Alex Kirilloff*,26,MIN,AL,-0.6,57,178,159,20,32,8,3,5,20,0,0,15,47,0.201,0.27,0.384,0.653,81,0.287,79,61,5,1,0,3,0,
382,Ben Rice*,25,NYY,AL,-0.4,50,178,152,20,26,6,0,7,23,0,1,20,48,0.171,0.264,0.349,0.613,72,0.275,74,53,2,1,0,5,0,
383,Jordan Walker,22,STL,NL,-0.9,51,178,164,16,33,10,1,5,20,1,0,10,50,0.201,0.253,0.366,0.619,71,0.267,63,60,4,2,0,2,0,
384,Junior Caminero,20,TBR,AL,0.7,43,177,165,15,41,9,1,6,18,2,0,11,38,0.248,0.299,0.424,0.724,105,0.315,102,70,2,1,0,0,2,
385,Patrick Wisdom,32,CHC,NL,-0.4,75,174,158,16,27,7,2,8,23,5,0,10,59,0.171,0.237,0.392,0.629,75,0.276,68,62,1,4,1,1,0,
386,Derek Hill,28,3TM,2LG,0,53,172,162,19,39,4,2,7,25,6,2,5,56,0.241,0.271,0.42,0.69,88,0.317,95,68,2,2,2,1,0,
387,Brett Baty*,24,NYM,NL,0.3,50,171,153,15,35,3,0,4,16,0,0,16,42,0.229,0.306,0.327,0.633,82,0.287,83,50,3,1,1,0,1,
388,Nick Loftin,25,KCR,AL,0.2,56,171,148,15,28,4,0,1,14,1,0,19,24,0.189,0.282,0.236,0.519,49,0.258,56,35,4,1,1,2,0,
389,Ángel Martínez#,22,CLE,AL,0.1,43,169,151,16,35,7,0,3,11,3,1,15,33,0.232,0.298,0.338,0.635,81,0.286,80,51,2,0,1,2,0,
390,José Tena*,23,2TM,2LG,0.2,44,168,161,14,43,5,0,3,15,6,1,7,41,0.267,0.298,0.354,0.652,85,0.29,81,57,1,0,0,0,0,
391,Nick Martini*,34,CIN,NL,-0.4,52,163,146,23,31,4,2,5,24,1,3,9,38,0.212,0.272,0.37,0.641,73,0.293,82,54,1,4,0,3,0,
392,Evan Carter*,21,TEX,AL,0.6,45,162,144,23,27,6,2,5,15,2,0,15,43,0.188,0.272,0.361,0.633,80,0.284,79,52,1,2,0,1,0,
393,Gabriel Arias,24,CLE,AL,-0.4,53,161,153,15,34,9,1,3,15,5,2,6,53,0.222,0.255,0.353,0.608,71,0.273,71,54,4,1,0,1,0,
394,Sam Hilliard*,30,COL,NL,0.5,58,158,138,26,33,5,1,10,27,5,2,14,56,0.239,0.305,0.507,0.812,115,0.347,113,70,3,0,4,2,1,
395,Jung Hoo Lee*,25,SFG,NL,0.1,37,158,145,15,38,4,0,2,8,2,3,10,13,0.262,0.31,0.331,0.641,86,0.287,91,48,2,1,0,2,0,
396,Reese McGuire*,29,BOS,AL,0.1,53,158,139,10,29,3,0,3,18,3,0,13,39,0.209,0.28,0.295,0.575,61,0.269,60,41,4,2,1,3,0,
397,Pavin Smith*,28,ARI,NL,0.6,60,158,137,26,37,11,0,9,36,1,0,18,31,0.27,0.348,0.547,0.896,145,0.382,145,75,4,0,0,3,0,
398,Matt Carpenter*,38,STL,NL,-0.1,59,157,137,15,32,7,0,4,15,0,2,15,51,0.234,0.314,0.372,0.686,92,0.301,93,51,0,2,0,2,0,
399,Kyle McCann*,26,OAK,AL,0.2,54,157,140,13,33,4,0,5,15,0,0,16,59,0.236,0.318,0.371,0.69,101,0.305,100,52,2,1,0,0,1,
400,J.D. Davis,31,2TM,AL,-0.4,46,157,142,13,31,5,0,4,6,0,0,12,39,0.218,0.293,0.338,0.631,83,0.278,79,48,5,3,0,0,0,
401,Austin Barnes,34,LAD,NL,0.7,54,156,140,12,37,3,0,1,11,3,0,14,36,0.264,0.331,0.307,0.638,85,0.294,85,43,3,0,2,0,0,
402,Kyle Manzardo*,23,CLE,AL,0,53,156,145,11,34,12,0,5,15,0,0,9,41,0.234,0.282,0.421,0.703,97,0.307,96,61,3,1,0,1,0,
403,Luis Matos,22,SFG,NL,-0.2,45,156,150,14,32,5,0,5,25,0,0,5,24,0.213,0.237,0.347,0.584,66,0.269,73,52,5,0,0,1,1,
404,James Outman*,27,LAD,NL,-0.4,53,156,136,12,20,4,0,4,11,2,1,16,55,0.147,0.256,0.265,0.521,50,0.24,50,36,0,4,0,0,0,
405,Tyler Wade*,29,SDP,NL,-0.7,90,156,138,28,30,3,0,0,8,8,1,11,29,0.217,0.285,0.239,0.524,50,0.25,43,33,0,2,4,0,0,
406,Kris Bryant,32,COL,NL,-0.7,37,155,133,9,29,5,0,2,15,0,0,13,48,0.218,0.323,0.301,0.623,71,0.292,74,40,6,8,0,1,0,
407,Alex Jackson,28,TBR,AL,-0.4,58,155,139,17,17,7,0,3,12,1,0,12,53,0.122,0.201,0.237,0.439,26,0.213,29,33,2,2,1,1,0,
408,Victor Scott II*,23,STL,NL,-0.5,53,155,145,14,26,9,0,2,10,5,1,6,42,0.179,0.219,0.283,0.502,40,0.235,38,41,0,2,0,2,0,
409,Luke Maile,33,CIN,NL,-0.4,53,154,135,8,24,4,0,2,8,2,0,13,52,0.178,0.268,0.252,0.52,44,0.25,43,34,4,4,1,1,0,
410,Tommy Edman#,29,LAD,NL,0.9,37,153,139,20,33,5,1,6,20,6,0,11,30,0.237,0.294,0.417,0.711,101,0.321,101,58,2,1,0,2,0,
411,Martín Maldonado,37,CHW,AL,-1.3,48,147,135,9,16,3,0,4,11,0,0,8,51,0.119,0.174,0.23,0.403,15,0.18,5,31,5,1,3,0,0,
412,Christian Bethancourt,32,2TM,NL,0.3,62,147,139,18,29,7,0,5,22,3,0,5,36,0.209,0.241,0.367,0.608,65,0.278,64,51,2,1,2,0,0,
413,Austin Hedges,31,CLE,AL,-0.6,66,146,132,12,20,3,0,2,15,2,0,6,50,0.152,0.203,0.22,0.422,21,0.199,14,29,2,3,3,2,0,
414,Jonathan Aranda*,26,TBR,AL,0.7,44,143,128,22,30,7,0,6,14,0,0,12,32,0.234,0.308,0.43,0.737,109,0.325,111,55,2,2,0,1,0,
415,Andruw Monasterio,27,MIL,NL,-0.2,59,142,125,14,26,5,0,1,16,6,2,16,40,0.208,0.303,0.272,0.575,62,0.267,60,34,3,1,0,0,0,
416,Danny Mendick,30,CHW,AL,-0.3,47,141,132,13,26,7,0,3,8,6,0,6,35,0.197,0.243,0.318,0.561,60,0.255,53,42,3,2,1,0,0,
417,Tomás Nido,30,2TM,NL,-0.4,49,140,130,14,25,4,0,4,12,0,0,5,35,0.192,0.219,0.315,0.534,50,0.235,44,41,1,0,3,2,0,
418,Darell Hernaiz,22,OAK,AL,-0.8,48,135,120,8,23,3,0,1,12,1,1,11,27,0.192,0.261,0.242,0.503,48,0.235,51,29,4,1,1,2,0,
419,Dairon Blanco,31,KCR,AL,0.1,88,132,120,37,31,4,0,4,13,31,7,8,32,0.258,0.308,0.392,0.699,96,0.327,85,47,2,1,1,1,0,
420,Andrés Chaparro,25,WSN,NL,-0.1,33,132,121,12,26,12,0,4,15,1,1,7,24,0.215,0.28,0.413,0.694,95,0.305,97,50,3,4,0,0,0,
421,Dylan Crews,22,WSN,NL,0.6,31,132,119,12,26,5,1,3,8,12,3,11,26,0.218,0.288,0.353,0.641,82,0.296,82,42,4,1,0,1,0,
422,Curtis Mead,23,TBR,AL,-0.5,38,132,122,10,29,3,0,1,7,2,0,6,30,0.238,0.282,0.287,0.569,65,0.259,61,35,2,2,0,1,0,
423,Riley Adams,28,WSN,NL,0.2,41,130,116,10,26,5,1,2,8,1,0,10,35,0.224,0.292,0.336,0.629,79,0.292,84,39,4,2,0,2,1,
424,Grant McCray*,23,SFG,NL,0,37,130,124,13,25,3,2,5,10,5,0,6,56,0.202,0.238,0.379,0.617,75,0.285,78,47,3,0,0,0,0,
425,Luis Torrens,28,NYM,NL,0.7,47,130,118,14,27,8,0,3,15,0,1,9,28,0.229,0.292,0.373,0.665,89,0.287,86,44,5,2,0,1,0,
426,Mike Trout,32,LAA,AL,1.1,29,126,109,17,24,1,2,10,14,6,1,16,27,0.22,0.325,0.541,0.867,140,0.372,136,59,0,1,0,0,1,
427,Curt Casali,35,SFG,NL,0.3,41,125,108,12,21,3,0,1,8,0,0,13,22,0.194,0.293,0.25,0.543,60,0.27,73,27,3,2,2,0,0,
428,Michael Stefanic,28,LAA,AL,-0.2,40,124,110,8,24,4,0,0,8,0,0,10,20,0.218,0.301,0.255,0.555,61,0.256,58,28,5,3,1,0,0,
429,Christian Encarnacion-Strand,24,CIN,NL,-1,29,123,116,13,22,6,0,2,16,0,0,4,35,0.19,0.22,0.293,0.513,39,0.222,25,34,4,1,0,2,0,
430,Brett Harris,26,OAK,AL,-0.5,36,123,103,15,15,3,0,3,12,0,3,17,25,0.146,0.276,0.262,0.539,59,0.253,71,27,3,2,0,1,0,
431,Henry Davis,24,PIT,NL,-0.6,37,122,104,9,15,4,0,1,5,0,0,13,45,0.144,0.242,0.212,0.453,28,0.226,32,22,1,1,1,2,0,
432,Brooks Baldwin#,23,CHW,AL,0,33,121,114,9,24,6,0,2,8,4,0,6,31,0.211,0.25,0.316,0.566,62,0.263,60,36,1,0,1,0,0,
433,José Abreu,37,HOU,AL,-1.7,35,120,113,10,14,2,0,2,7,0,0,4,28,0.124,0.167,0.195,0.361,4,0.163,-5,22,4,2,0,1,0,
434,Kody Clemens*,28,PHI,NL,0.3,43,120,114,17,25,9,1,5,18,0,0,5,29,0.219,0.258,0.447,0.706,94,0.3,88,51,2,1,0,0,0,
435,Jerar Encarnación,26,SFG,NL,0.1,35,119,113,13,28,5,0,5,19,1,0,5,34,0.248,0.277,0.425,0.702,99,0.301,94,48,0,0,0,1,0,
436,Trey Sweeney*,24,DET,AL,0.7,36,119,110,11,24,5,0,4,17,2,0,7,32,0.218,0.269,0.373,0.642,81,0.29,81,41,3,1,0,1,0,
437,Garrett Cooper,33,2TM,2LG,-0.8,36,116,107,6,22,5,1,1,11,0,0,7,35,0.206,0.267,0.299,0.566,59,0.253,53,32,3,2,0,0,0,
438,Vaughn Grissom,23,BOS,AL,-0.2,31,114,105,10,20,3,0,0,6,2,0,7,24,0.19,0.246,0.219,0.465,31,0.234,35,23,3,1,0,1,0,
439,José Herrera#,27,ARI,NL,-0.2,42,114,97,11,22,4,1,1,13,0,0,9,27,0.227,0.29,0.32,0.609,70,0.272,64,31,1,0,7,1,0,
440,Heston Kjerstad*,25,BAL,AL,0.4,39,114,99,8,25,2,0,4,14,1,0,10,33,0.253,0.351,0.394,0.745,119,0.336,123,39,0,5,0,0,2,
441,Alex Call,29,WSN,NL,1.5,30,113,99,15,34,9,0,3,14,5,1,12,19,0.343,0.425,0.525,0.95,169,0.429,181,52,2,2,0,0,0,
442,Casey Schmitt,25,SFG,NL,0.2,40,113,107,11,27,4,1,6,16,0,0,4,25,0.252,0.283,0.477,0.76,114,0.321,110,51,2,1,0,1,0,
443,Estevan Florial*,26,CLE,AL,0.1,36,111,98,11,17,6,2,3,11,2,1,11,41,0.173,0.264,0.367,0.631,78,0.275,73,36,2,1,1,0,0,
444,Ryan Noda*,28,OAK,AL,-0.6,36,111,95,8,13,4,0,1,4,0,0,14,37,0.137,0.255,0.211,0.465,38,0.222,40,20,0,1,1,0,0,
445,Luis Urías,27,SEA,AL,0.4,41,109,94,11,18,7,0,4,16,0,0,9,34,0.191,0.303,0.394,0.696,105,0.307,106,37,2,6,0,0,0,
446,Sean Bouchard,28,COL,NL,-0.6,31,108,91,14,17,7,0,1,8,4,0,12,33,0.187,0.29,0.297,0.586,60,0.299,73,27,0,2,1,2,0,
447,Dane Myers,28,MIA,NL,0.5,44,108,95,17,25,6,1,3,19,4,1,8,36,0.263,0.333,0.442,0.775,109,0.346,111,42,0,3,0,2,0,
448,Bryan Ramos,22,CHW,AL,-0.2,32,108,99,13,20,4,0,3,11,0,2,7,22,0.202,0.252,0.333,0.586,67,0.273,80,33,3,0,0,1,0,
449,Niko Kavadas*,25,LAA,AL,-0.2,30,106,93,11,17,2,0,4,8,1,0,11,41,0.183,0.283,0.333,0.616,75,0.28,74,31,0,2,0,0,0,
450,Miles Mastrobuoni*,28,CHC,NL,-0.2,50,106,98,9,19,3,0,0,4,2,0,7,17,0.194,0.245,0.224,0.47,35,0.22,29,22,1,0,0,1,0,
451,Trevor Story,31,BOS,AL,0.7,26,106,94,8,24,7,0,2,10,6,3,11,33,0.255,0.34,0.394,0.733,104,0.325,104,37,2,1,0,0,2,
452,Nick Allen,25,OAK,AL,0.2,41,105,97,6,17,4,0,1,4,0,0,5,20,0.175,0.216,0.247,0.463,35,0.215,33,24,0,0,3,0,0,
453,Oliver Dunn*,26,MIL,NL,0.2,41,104,95,11,21,2,2,1,7,3,0,6,40,0.221,0.282,0.316,0.597,66,0.269,58,30,1,2,1,0,0,
454,Alek Thomas*,24,ARI,NL,0,39,103,95,13,18,5,1,3,17,4,1,7,17,0.189,0.245,0.358,0.603,66,0.283,71,34,7,0,1,0,0,
455,Jacob Wilson,22,OAK,AL,-0.2,28,103,92,11,23,2,2,0,3,0,0,8,10,0.25,0.314,0.315,0.629,85,0.281,82,29,4,1,1,1,0,
456,Ben Gamel*,32,2TM,2LG,0.2,38,99,81,22,20,4,0,1,4,1,0,18,24,0.247,0.384,0.333,0.717,109,0.338,118,27,0,0,0,0,1,
457,Aaron Schunk,26,COL,NL,0.2,39,98,94,14,22,3,0,2,7,0,1,4,31,0.234,0.265,0.33,0.595,60,0.26,55,31,0,0,0,0,1,
458,Weston Wilson,29,PHI,NL,0.7,40,98,88,13,25,7,1,3,10,3,0,8,29,0.284,0.347,0.489,0.836,132,0.372,135,43,2,1,0,1,0,
459,Tucker Barnhart*,33,ARI,NL,0.3,31,96,81,13,14,3,0,0,6,1,0,13,31,0.173,0.287,0.21,0.497,42,0.252,49,17,0,0,2,0,0,
460,Yan Gomes,36,CHC,NL,-0.7,34,96,91,7,14,2,0,2,7,0,0,2,36,0.154,0.179,0.242,0.421,18,0.192,12,22,2,1,1,1,0,
461,Alí Sánchez,27,MIA,NL,-0.6,31,96,84,5,14,2,0,0,4,2,1,4,24,0.167,0.211,0.19,0.402,11,0.194,-1,16,2,1,6,1,0,
462,Alika Williams,25,PIT,NL,-0.2,37,96,87,13,18,4,2,0,5,1,0,3,22,0.207,0.242,0.299,0.541,50,0.249,45,26,0,1,5,0,0,
463,Miguel Sanó,31,LAA,AL,-0.1,28,95,83,9,17,3,0,2,6,0,0,9,36,0.205,0.295,0.313,0.608,73,0.272,70,26,2,2,0,1,0,
464,Jace Jung*,23,DET,AL,-0.5,34,94,79,14,19,5,0,0,3,0,1,15,29,0.241,0.362,0.304,0.665,93,0.304,97,24,3,0,0,0,0,
465,Nick Madrigal,27,CHC,NL,-0.4,51,94,86,5,19,3,0,0,10,1,0,4,10,0.221,0.28,0.256,0.535,54,0.246,50,22,2,3,1,0,0,
466,Bobby Dalbec,29,BOS,AL,-0.8,37,93,83,6,11,2,0,1,8,3,0,8,43,0.133,0.217,0.193,0.41,16,0.196,4,16,1,1,1,0,0,
